landscape_id;landscape;year;age_enclos;habitat;site_id;season;season_site_id;bird_rich;dec_long;dec_lat;tot_strata;plant_rich_tot;Shannon_vertical;herb_cov;herb_height;max.NDVI.50;max.NDVI.500;nb_houses;diff.max.NDVI.500
67C_11;67C;2011;12;open;67C_11_open;post rainy;post rainy_67C_11_open;20;-1.749179;12.56296;21;7;1.073831323;30;100;0.416;0.485;0;0.296
67C_11;67C;2011;12;woody;67C_11_woody;post rainy;post rainy_67C_11_woody;19;-1.748805;12.565205;33;9;0.585952618;80;70;0.487;0.485;0;0.296
71C_11;71C;2011;12;enclos;71C_11_enclos;post rainy;post rainy_71C_11_enclos;20;-1.404819;12.727941;17;7;1.202278802;50;60;0.763;0.55;109;0.333
71C_11;71C;2011;12;open;71C_11_open;post rainy;post rainy_71C_11_open;23;-1.403038;12.725308;10;4;0.801818553;20;30;0.464;0.55;109;0.333
71C_11;71C;2011;12;woody;71C_11_woody;post rainy;post rainy_71C_11_woody;18;-1.402908;12.729106;14;5;0.693147181;60;50;0.585;0.55;109;0.333
74C_11;74C;2011;12;enclos;74C_11_enclos;post rainy;post rainy_74C_11_enclos;28;-1.85497;12.314832;30;11;1.037097316;40;60;0.573;0.48;10;0.269
74C_11;74C;2011;12;open;74C_11_open;post rainy;post rainy_74C_11_open;22;-1.853137;12.313015;6;4;0.636514168;30;60;0.436;0.48;10;0.269
74C_11;74C;2011;12;woody;74C_11_woody;post rainy;post rainy_74C_11_woody;22;-1.852616;12.315329;21;11;1.022083051;30;60;0.559;0.48;10;0.269
75C_12;75C;2012;11;enclos;75C_12_enclos;post rainy;post rainy_75C_12_enclos;24;-1.8149;12.303632;39;16;1.374964614;80;150;0.649;0.516;0;0.28
75C_12;75C;2012;11;open;75C_12_open;post rainy;post rainy_75C_12_open;22;-1.817921;12.304932;22;4;0.304636097;70;50;0.432;0.516;0;0.28
75C_12;75C;2012;11;woody;75C_12_woody;post rainy;post rainy_75C_12_woody;29;-1.817995;12.302775;31;12;1.203072041;40;60;0.599;0.516;0;0.28
77C_12;77C;2012;11;enclos;77C_12_enclos;post rainy;post rainy_77C_12_enclos;20;-1.827766;12.308311;37;9;1.312502013;20;20;0.563;0.503;116;0.274
